date,brand,article_id,category,title,pageviews,unique_visitors,affiliate_clicks,conversions,affiliate_revenue,avg_time_on_page,traffic_source
2024-10-01,Vogue,VOG001,Fashion,Best Winter Coats 2024,2500,2100,125,15,750.00,180,organic
2024-10-01,GQ,GQ001,Style,Mens Watches Under $500,1800,1500,90,11,660.00,210,social
2024-10-01,Wired,WIR001,Tech,Best Laptops for 2024,3200,2800,160,20,1200.00,240,organic
2024-10-01,Bon Appetit,BA001,Food,Kitchen Gadgets We Love,1500,1200,75,9,450.00,150,email
2024-10-01,Allure,ALL001,Beauty,Best Face Serums,2200,1900,110,14,840.00,195,organic
2024-10-02,Vogue,VOG002,Fashion,Designer Handbags Sale,3100,2600,155,19,1140.00,200,social
2024-10-02,GQ,GQ002,Grooming,Electric Shavers Review,1400,1100,70,8,480.00,165,organic
2024-10-02,Wired,WIR002,Tech,Smart Home Security,2800,2400,140,17,1020.00,225,organic
2024-10-02,Bon Appetit,BA002,Food,Coffee Makers Guide,1900,1600,95,12,720.00,180,social
2024-10-02,Allure,ALL002,Beauty,Luxury Skincare Brands,2600,2200,130,16,960.00,210,email
2024-10-03,Vogue,VOG003,Accessories,Statement Jewelry Trends,2100,1800,105,13,780.00,175,organic
2024-10-03,GQ,GQ003,Style,Sneaker Releases,2400,2000,120,15,900.00,190,social
2024-10-03,Wired,WIR003,Gadgets,Wireless Earbuds Comparison,3500,3000,175,22,1320.00,230,organic
2024-10-03,Bon Appetit,BA003,Food,Air Fryer Recipes,1700,1400,85,10,600.00,160,email
2024-10-03,Allure,ALL003,Beauty,Hair Styling Tools,2000,1700,100,12,720.00,185,organic
2024-10-04,Vogue,VOG004,Fashion,Sustainable Fashion Brands,1900,1600,95,11,660.00,195,organic
2024-10-04,GQ,GQ004,Style,Suit Shopping Guide,1600,1300,80,9,540.00,205,direct
2024-10-04,Wired,WIR004,Tech,Gaming Monitors 2024,2900,2500,145,18,1080.00,220,organic
2024-10-04,Bon Appetit,BA004,Cookware,Cast Iron Skillets,1300,1000,65,7,420.00,170,email
2024-10-04,Allure,ALL004,Beauty,Makeup Brushes Guide,1800,1500,90,11,660.00,180,social
2024-10-05,Vogue,VOG005,Fashion,Spring Dress Trends,2800,2400,140,17,1020.00,185,organic
2024-10-05,GQ,GQ005,Tech,Fitness Trackers,2100,1800,105,13,780.00,200,organic
2024-10-05,Wired,WIR005,Tech,Smartphone Comparison,4200,3600,210,26,1560.00,245,organic
2024-10-05,Bon Appetit,BA005,Food,Blender Reviews,1500,1200,75,9,540.00,165,social
2024-10-05,Allure,ALL005,Beauty,Perfume Gift Guide,2400,2000,120,15,900.00,190,email
2024-10-06,Vogue,VOG006,Accessories,Designer Sunglasses,2300,1900,115,14,840.00,180,social
2024-10-06,GQ,GQ006,Grooming,Best Colognes for Men,2000,1700,100,12,720.00,195,organic
2024-10-06,Wired,WIR006,Tech,Tablet Buying Guide,2600,2200,130,16,960.00,215,organic
2024-10-06,Bon Appetit,BA006,Food,Stand Mixer Comparison,1400,1100,70,8,480.00,175,email
2024-10-06,Allure,ALL006,Beauty,Anti-Aging Products,2700,2300,135,17,1020.00,205,organic
2024-10-07,Vogue,VOG007,Fashion,Luxury Activewear,2500,2100,125,15,900.00,190,organic
2024-10-07,GQ,GQ007,Style,Leather Jackets Guide,1900,1600,95,11,660.00,200,social
2024-10-07,Wired,WIR007,Gadgets,Camera Equipment,3100,2700,155,19,1140.00,235,organic
2024-10-07,Bon Appetit,BA007,Food,Knife Sets Review,1600,1300,80,10,600.00,180,direct
2024-10-07,Allure,ALL007,Beauty,Nail Polish Trends,1700,1400,85,10,600.00,170,social
2024-10-08,Vogue,VOG008,Fashion,Wedding Guest Dresses,3200,2700,160,20,1200.00,195,organic
2024-10-08,GQ,GQ008,Style,Dress Shoes Guide,1800,1500,90,11,660.00,210,organic
2024-10-08,Wired,WIR008,Tech,Streaming Devices,2400,2000,120,15,900.00,200,social
2024-10-08,Bon Appetit,BA008,Food,Cookware Sets,1500,1200,75,9,540.00,165,email
2024-10-08,Allure,ALL008,Beauty,Eye Cream Reviews,2200,1800,110,13,780.00,185,organic
2024-10-09,Vogue,VOG009,Accessories,Watch Collections,2600,2200,130,16,960.00,200,organic
2024-10-09,GQ,GQ009,Grooming,Beard Trimmers,1700,1400,85,10,600.00,180,social
2024-10-09,Wired,WIR009,Tech,Headphones Comparison,3800,3200,190,24,1440.00,240,organic
2024-10-09,Bon Appetit,BA009,Food,Food Processors,1400,1100,70,8,480.00,170,email
2024-10-09,Allure,ALL009,Beauty,Lip Care Products,1900,1600,95,12,720.00,175,organic
2024-10-10,Vogue,VOG010,Fashion,Fall Boots Guide,2900,2500,145,18,1080.00,205,organic
2024-10-10,GQ,GQ010,Style,Wallet Recommendations,1500,1200,75,9,540.00,190,direct
2024-10-10,Wired,WIR010,Tech,Router Buying Guide,2200,1900,110,14,840.00,220,organic
2024-10-10,Bon Appetit,BA010,Cookware,Dutch Ovens Review,1600,1300,80,10,600.00,185,email
2024-10-10,Allure,ALL010,Beauty,Face Masks Guide,2100,1800,105,13,780.00,180,social
2024-10-11,Vogue,VOG011,Fashion,Cashmere Sweaters,2400,2000,120,15,900.00,195,organic
2024-10-11,GQ,GQ011,Tech,Smartwatch Reviews,2300,1900,115,14,840.00,205,organic
2024-10-11,Wired,WIR011,Gadgets,Portable Chargers,2000,1700,100,12,720.00,195,social
2024-10-11,Bon Appetit,BA011,Food,Espresso Machines,1800,1500,90,11,660.00,200,email
2024-10-11,Allure,ALL011,Beauty,Hair Dryers Comparison,2500,2100,125,15,900.00,190,organic
2024-10-12,Vogue,VOG012,Accessories,Scarves Collection,1800,1500,90,11,660.00,175,social
2024-10-12,GQ,GQ012,Grooming,Hair Products for Men,1900,1600,95,12,720.00,185,organic
2024-10-12,Wired,WIR012,Tech,Keyboard Reviews,2700,2300,135,17,1020.00,215,organic
2024-10-12,Bon Appetit,BA012,Food,Toaster Ovens,1300,1000,65,7,420.00,160,email
2024-10-12,Allure,ALL012,Beauty,Foundation Guide,2800,2400,140,17,1020.00,195,organic
2024-10-13,Vogue,VOG013,Fashion,Denim Trends,2200,1900,110,14,840.00,185,organic
2024-10-13,GQ,GQ013,Style,Backpacks for Work,2000,1700,100,12,720.00,195,social
2024-10-13,Wired,WIR013,Tech,Mouse Reviews,1900,1600,95,11,660.00,200,organic
2024-10-13,Bon Appetit,BA013,Food,Slow Cookers Guide,1500,1200,75,9,540.00,175,direct
2024-10-13,Allure,ALL013,Beauty,Moisturizer Reviews,2400,2000,120,15,900.00,190,organic
2024-10-14,Vogue,VOG014,Fashion,Evening Gowns,3000,2500,150,18,1080.00,200,organic
2024-10-14,GQ,GQ014,Style,Sunglasses Guide,2100,1800,105,13,780.00,190,social
2024-10-14,Wired,WIR014,Gadgets,Power Banks,2300,2000,115,14,840.00,210,organic
2024-10-14,Bon Appetit,BA014,Food,Blender Bottles,1200,900,60,7,420.00,165,email
2024-10-14,Allure,ALL014,Beauty,Curling Irons,2200,1900,110,13,780.00,185,organic
2024-10-15,Vogue,VOG015,Accessories,Belt Collections,1700,1400,85,10,600.00,180,organic
2024-10-15,GQ,GQ015,Grooming,Skin Care Routine,2400,2000,120,15,900.00,200,organic
2024-10-15,Wired,WIR015,Tech,External Hard Drives,2600,2200,130,16,960.00,220,social
2024-10-15,Bon Appetit,BA015,Cookware,Baking Sheets,1400,1100,70,8,480.00,170,email
2024-10-15,Allure,ALL015,Beauty,Mascara Reviews,2000,1700,100,12,720.00,180,organic
